team_no,knowcat_1,knowcat_2,knowcat_3,knowcat_4,knowcat_5,knowcat_6,mtxScore,nsScore,crtScore,bnScore,aotScore,nfcScore
4,-0.139557276,-0.519348642,-0.190066072,0.776823716,-0.257525387,-0.453937546,1.299421571,0.506687742,0.947090376,0.704843523,0.165337598,0.728648548
4,3.401184518,0.525535046,2.310102121,2.852367901,0.857349257,3.56440897,1.299421571,0.062580012,0.947090376,1.433858043,0.49917715,0.995231619
4,1.074411339,0.699682328,-0.090059344,-0.572280004,1.016617063,-0.453937546,1.299421571,0.506687742,-0.084599818,1.433858043,0.165337598,0.462065478
5,-0.038393225,-0.345201361,-1.190133349,-0.157171167,-1.372400031,-0.453937546,0.773235277,-0.381527718,-0.084599818,0.704843523,1.500695805,-0.337683734
5,0.36626298,1.222124172,-0.190066072,0.569269298,0.061010225,0.510465618,1.299421571,0.950795472,0.947090376,1.433858043,-0.168501954,-0.470975269
5,-0.240721327,-0.867643205,-0.990119894,-0.053393958,-0.576061,0.028264036,0.773235277,-0.381527718,-1.632135108,-1.482200036,0.833016701,0.728648548
5,-0.341885379,-1.215937767,-0.490086255,0.25793767,0.698081451,-0.453937546,1.825607866,0.506687742,0.947090376,1.433858043,1.166856253,1.52839776
5,0.568591083,-0.693495923,2.110088665,-0.053393958,1.17588487,-0.293203685,-0.805323606,0.506687742,-0.084599818,-0.024170997,1.500695805,1.794980831
5,2.187215903,0.525535046,1.110021388,2.229704646,1.494420482,1.474868782,0.773235277,0.950795472,0.947090376,1.433858043,-0.168501954,0.861940084
6,1.377903493,-0.171054079,0.009947383,1.088155344,-0.098257581,0.510465618,0.247048983,0.950795472,0.947090376,1.433858043,0.49917715,-0.071100663
6,-0.847705635,0.351387765,0.309967566,0.361714879,1.016617063,-2.061276152,0.773235277,0.062580012,0.431245279,-1.482200036,0.165337598,0.328773942
6,0.163934878,-2.086674174,0.209960839,-1.09116605,-1.372400031,-0.453937546,-0.279137312,0.062580012,-2.147980205,-1.482200036,0.49917715,0.195482407
6,-0.240721327,0.003093202,-0.090059344,0.569269298,0.379545838,0.028264036,0.247048983,0.506687742,0.947090376,-0.024170997,-0.168501954,-0.73755834
6,-2.06167425,-0.693495923,-1.290140077,-0.676057213,-0.576061,-1.096872988,0.247048983,-0.825635448,-0.600444914,-1.482200036,-1.503860161,0.728648548
